	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8
95	9.687951946	9.7628328	9.736272878	8.791303569	10.06298905	11.12751831	9.37408072	10.35719887
91703	8.90328567	9.122378943	7.517702454	8.890195561	8.582846876	8.913252957	7.423863858	8.529106448
97	9.015891412	7.126967696	5.550786796	6.216190981	6.790216848	6.979952158	6.523169866	6.910737458
98	7.231827897	7.008485768	5.268104974	6.228843697	6.072710371	6.555879026	6.111461218	6.823332844
132612	0	0.493852248	0	0	0	0	0	0
161931	0	2.092647217	1.625410777	0	0	0.805457561	0	0.943058639
161823	6.358531649	7.184774202	6.392222958	6.803155985	7.100144032	6.37276409	5.723296428	6.088328199
102	9.340957648	9.966049283	12.20151073	10.3241164	10.86369505	10.58597166	11.34718085	10.72380324
4185	1.942645867	2.560225822	1.625410777	2.785320372	2.826436626	0.805457561	2.091564443	2.321293169
8038	6.973434486	8.375128076	12.53450013	8.568032105	9.849413546	6.436420059	8.5551102	9.48195479
8751	11.20610961	11.05086482	11.36697336	10.75812667	11.43251382	12.70994738	10.83671015	12.08039765
6868	8.768651471	8.570552869	9.051652695	8.580425914	9.326920639	8.648802636	8.68275271	9.072954431
8749	0	0	0	0	0	0	0	0.386810946
8728	8.830044848	9.464149746	10.31923575	9.894642114	9.951122803	8.27338161	9.699352606	10.11346701
8748	0.559736524	0.861002514	0.875072301	0	0.779721981	0.45817199	0	0
145241	0.559736524	0	0	0	0	0	1.292663973	0
8747	2.521075871	0	2.11653111	1.567837462	0.779721981	0.805457561	0.786512725	0.691623493
53616	1.752791401	4.181333173	5.84053373	6.42851595	5.055633846	4.271858898	0	4.370282872
8745	3.683730136	6.942992978	5.892101972	3.14706243	4.623861011	3.317882883	5.487245151	3.920883979
10863	6.812400673	6.859249014	10.43284982	10.17681642	9.714977843	9.047735496	10.70037148	8.669745382
11086	0.961993677	0.861002514	1.170694234	0	0.441908364	0	0	0
2515	0	0	0	0	0	0	0	0
11085	0	0.493852248	0	0	0	0	0	0
203102	0.559736524	2.345282818	1.625410777	1.567837462	1.283151339	1.319213275	2.091564443	3.217727042
80332	4.511246634	8.657701093	5.252404305	1.567837462	6.169277647	6.468990524	5.762354131	7.728005517
1587	0	0	0	0	0	0	0	0
255926	0	0	0	0	0	0	0	0
8755	10.99410307	17.4226264	15.34285834	13.20934195	15.29210938	12.03562711	14.39733429	14.60197526
8756	0	0	0	0	0	0	0	0
101	9.318641095	6.933389693	9.667871374	8.248918551	7.859117292	11.05535213	8.942866339	9.394346717
8754	10.63341268	11.49133163	13.17746121	12.11988196	11.77738643	12.11848935	13.56336141	12.596721
